"Double six","23"
"Six","23"
"Sovereign","23"
"Bluebird","24"
"Cherry","24"
"Stanza","24"
"F102","25"
"Avenger","26"
"Caliber","26"
"Caravan","26"
"Challenger","26"
"Charger","26"
"Coronet","26"
"Daytona","26"
"Interpid","26"
"Journey","26"
"Magnum","26"
"Neon","26"
"Ram","26"
"Shadow","26"
"Stealth","26"
"Stratus","26"
"Viper","26"
"1","27"
"2","27"
"3","27"
"Premire","28"
"Talon","28"
"Vision","28"
"Polonez","29"
"308","30"
"348","30"
"360 modena","30"
"360 spider","30"
"458 Italia","30"
"488","30"
"599","30"
"California","30"
"Enzo","30"
"F12berlinetta","30"
"F430","30"
"F456m","30"
"F575m maranello","30"
"F612 scaglietti","30"
"FF","30"
"LaFerrari","30"
"Mondial 8","30"
"Testarossa","30"
"1100","31"
"124","31"
"125","31"
"126","31"
"127","31"
"128","31"
"131","31"
"132","31"
"1400","31"
"1500","31"
"1800","31"
"500","31"
"500L","31"
"600","31"
"650","31"
"750","31"
"Albea","31"
"Argenta","31"
"Barchetta","31"
"Bertone","31"
"Brava","31"
"Bravo","31"
"Cinquecento","31"
"Coupe","31"
"Croma","31"
"Doblo","31"
"Duna","31"
"Fiorino","31"
"Idea","31"
"Linea","31"
"Marea","31"
"Multipla","31"
"Palio","31"
"Panda","31"
"Punto","31"
"Qubo","31"
"Regata","31"
"Ritmo","31"
"Scudo","31"
"Sedici","31"
"Seicento","31"
"Siena","31"
"Stilo","31"
"Strada","31"
"Tempra","31"
"Tipo","31"
"Topolino","31"
"Ulysse","31"
"Uno","31"
"12m","32"
"15m","32"
"17m","32"
"20m","32"
"Aerostar","32"
"B-Max","32"
"C-max","32"
"Capri","32"
"Connect","32"
"Consul","32"
"Cortina","32"
"Cosworth","32"
"Cougar","32"
"Countur","32"
"Courier","32"
"Crown victoria","32"
"Ecoline","32"
"Escort","32"
"Fiesta","32"
"Focus","32"
"Fusion","32"
"Galaxy","32"
"Granada","32"
"Ka","32"
"Mondeo","32"
"Mustang","32"
"Orion","32"
"Probe","32"
"Puma","32"
"Rs","32"
"S-Max","32"
"Scorpio","32"
"Sierra","32"
"Sportka","32"
"Streetka","32"
"Taunus","32"
"Taurus","32"
"Thunderbird","32"
"Windstar","32"
"Zephyr","32"
"Metro","33"
"Prizm","33"
"Storm","33"
"Voleex C10","34"
"Voleex C30","34"
"Тrojan","35"
"Accord","36"
"Cbr","36"
"Cbx","36"
"City","36"
"Civic","36"
"Civic ballade","36"
"Concerto","36"
"Cr-v","36"
"Crx","36"
"Crz","36"
"Fit","36"
"Fr-v","36"
"Hr-v","36"
"Insight","36"
"Integra","36"
"Jazz","36"
"Legend","36"
"Logo","36"
"Nsx","36"
"Odyssey","36"
"Prelude","36"
"Quintet","36"
"S2000","36"
"Shuttle","36"
"Stream","36"
"Accent","37"
"Atos","37"
"Coupe","37"
"Elantra","37"
"Excel","37"
"Genesis","37"
"Getz","37"
"Grace","37"
"Grandeur","37"
"I10","37"
"I20","37"
"I30","37"
"I40","37"
"Ix20","37"
"Lantra","37"
"Matrix","37"
"Pony","37"
"Porter","37"
"S","37"
"Santamo","37"
"Sonata","37"
"Sonica","37"
"Stelar","37"
"Tb","37"
"Trajet","37"
"Veloster ","37"
"Xg","37"
"F9","38"
"Fx45","39"
"G","39"
"G coupe","39"
"G sedan","39"
"I","39"
"J","39"
"M","39"
"Q","39"
"Mini","40"
"Gemini","41"
"Piazza","41"
"Pickup","41"
"Daimler","42"
"Daimler double six","42"
"Daimler six","42"
"F-Type","42"
"S-type","42"
"Sovereign","42"
"Super v8","42"
"X-type","42"
"XE","42"
"Xf","42"
"Xj","42"
"Xjr","42"
"Xjs","42"
"Xjsc","42"
"Xk8","42"
"Xkr","42"
"Avella delta","43"
"Cadenza","43"
"Carens","43"
"Carnival","43"
"Ceed","43"
"Cerato","43"
"Clarus","43"
"Joecs","43"
"Joyce","43"
"Magentis","43"
"Niro","43"
"Opirus","43"
"Optima","43"
"Picanto","43"
"Pride","43"
"Pro ceed","43"
"Quoris","43"
"Rio","43"
"Sephia","43"
"Shuma","43"
"Soul","43"
"Spectra","43"
"Venga","43"
"1200","44"
"1300","44"
"1500","44"
"1600","44"
"2101","44"
"21011","44"
"21012","44"
"21013","44"
"21015","44"
"2102","44"
"2103","44"
"2104","44"
"21043","44"
"2105","44"
"21051","44"
"21053","44"
"2106","44"
"21061","44"
"21063","44"
"2107","44"
"21074","44"
"2108","44"
"21083","44"
"2109","44"
"21093","44"
"21099","44"
"2110","44"
"21213","44"
"Granta","44"
"Kalina","44"
"Nova","44"
"Oka","44"
"Priora","44"
"Samara","44"
"Aventador","45"
"Countach","45"
"Diablo","45"
"Gallardo","45"
"Huracan","45"
"Murcielago","45"
"Reventon","45"
"Veneno","45"
"A112","46"
"Aurelia","46"
"Beta","46"
